Date_time,T_ex,T_in,Power
1391681268,8,24.21962,25.08928571
1391681630,8,24.251,25.64732143
1391681994,8,24.3451,26.27232143
1391682357,8,24.3451,25.73660714
1391682720,8,24.37646,25.625
1391683081,8,24.37646,25.95982143
1391683445,8,24.37646,25.42410714
1391683808,8,24.40784,25.15625
1391684160,8,24.40784,24.73214286
1391684525,8,24.40784,24.73214286
1391684887,8,24.40784,24.41964286
1391685250,9,24.40784,24.15178571
1391685613,9,24.47058,23.79464286
1391685976,9,24.47058,23.88392857
1391686339,9,24.50196,23.66071429
1391686699,9,24.53334,23.72767857
1391687064,9,24.53334,23.28125
1391687427,9,24.53334,23.16964286
1391687780,9,24.56472,22.8125
1391688556,9,24.56472,22.25446429
1391688918,9,24.56472,22.27678571
1391689643,10,24.53334,23.41517857
1391690006,10,24.50196,22.27678571
1391690369,10,24.50196,22.32142857
1391690732,10,24.50196,22.58928571
1391691092,10,24.50196,22.72321429
1391691456,10,24.50196,22.36607143
1391691820,10,24.50196,22.32142857
1391692173,10,24.50196,22.32142857
1391692537,10,24.50196,22.07589286
1391692899,10,24.53334,22.12053571
1391693262,10,24.56472,21.60714286
1391693624,10,24.56472,21.96428571
1391693987,10,24.56472,21.98660714
1391694350,10,24.56472,21.22767857
1391694712,10,24.56472,21.00446429
1391695076,10,24.56472,20.95982143
1391695439,10,24.56472,20.55803571
1391695792,10,24.56472,20.55803571
1391696568,10,24.56472,20.04464286
1391696931,10,24.56472,20.06696429
1391697293,10,24.56472,19.50892857
1391697657,10,24.56472,19.41964286
1391698019,10,24.56472,19.84375
1391698382,10,24.56472,19.50892857
1391698745,10,24.56472,19.73214286
1391699107,10,24.56472,20.26785714
1391699470,10,24.56472,19.375
1391699832,10,24.56472,19.59821429
1391700187,10,24.56472,19.77678571
1391700550,10,24.56472,19.08482143
1391700913,10,24.56472,18.99553571
1391701275,10,24.56472,18.66071429
1391701638,10,24.56472,18.16964286
1391702000,10,24.56472,18.92857143
1391702363,10,24.56472,20.29017857
1391702725,10,24.56472,20.02232143
1391703088,10,24.56472,20
1391703452,10,24.56472,19.82142857
1391703806,10,24.56472,20.17857143
1391704580,10,24.56472,20.06696429
1391704943,10,24.56472,20.08928571
1391705305,9,24.56472,20.08928571
1391705667,9,24.56472,20.46875
1391706031,9,24.56472,20.60267857
1391706394,9,24.56472,20.35714286
1391706756,9,24.56472,20.15625
1391707119,9,24.56472,20.625
1391707481,9,24.56472,20.64732143
1391707845,9,24.56472,20.84821429
1391708198,9,24.56472,20.84821429
1391708561,9,24.56472,20.71428571
1391708924,9,24.5961,20.46875
1391709287,9,24.5961,20.625
1391709651,9,24.5961,20.24553571
1391710014,9,24.5961,20.26785714
1391710376,9,24.5961,20.17857143
1391710739,9,24.5961,20.17857143
1391711102,9,24.5961,20.20089286
1391711465,9,24.5961,19.91071429
1391711817,9,24.5961,19.88839286
1391712594,9,24.5961,20.60267857
1391712957,9,24.5961,20.55803571
1391713317,9,24.5961,20.625
1391713682,9,24.5961,20.33482143
1391714045,9,24.5961,20.08928571
1391714408,9,24.5961,21.07142857
1391714770,9,24.5961,20.46875
1391715132,9,24.5961,20.35714286
1391715496,9,24.5961,20.46875
1391715859,9,24.5961,20.24553571
1391716212,9,24.5961,21.00446429
1391716575,9,24.5961,20.89285714
1391716938,9,24.5961,20.66964286
1391717302,9,24.5961,20.26785714
1391717665,9,24.5961,20.625
1391718027,9,24.5961,20.46875
1391718391,9,24.5961,20.24553571
1391718752,9,24.5961,20.9375
1391719116,9,24.5961,20.42410714
1391719479,9,24.5961,21.42857143
1391719832,9,24.5961,20.89285714
1391720607,9,24.5961,21.27232143
1391720970,9,24.5961,0
1391721333,9,24.5961,0
1391721696,9,24.5961,0
1391722058,9,24.5961,0
1391722420,9,24.5961,0
1391722783,9,24.5961,0
1391723145,9,24.5961,0
1391723510,9,24.53334,0
